
C1, 1uF, Capacitors_SMD:C_1206,  
C2, 100nF, Capacitors_SMD:C_1206,  
C3, 1uF, Capacitors_SMD:C_1206,  
C4, 1uF, Capacitors_SMD:C_1206,  
C5, 100nF, Capacitors_SMD:C_1206,  
C6, 100nF, Capacitors_SMD:C_1206,  
C7, 100nF, Capacitors_SMD:C_1206,  
C8, 100nF, Capacitors_SMD:C_1206,  
C9, 100nF, Capacitors_SMD:C_1206,  
C10, 10nF, Capacitors_SMD:C_1206,  
C11, 100nF, Capacitors_SMD:C_1206, 
C12, 10nF, Capacitors_SMD:C_1206,  
C13, 10nF, Capacitors_SMD:C_1206,  
C14, 10nF, Capacitors_SMD:C_1206,  
C15, 22pF, Capacitors_SMD:C_1206,  
C16, 22pF, Capacitors_SMD:C_1206, 
C17, 100nF, Capacitors_SMD:C_1206, 
C18, 22pF, Capacitors_SMD:C_1206,  
C19, 22pF, Capacitors_SMD:C_1206,  
C20, 10uF, Capacitors_SMD:C_1206,  
C21, 100nF, Capacitors_SMD:C_1206,   
C22, 10uF, Capacitors_SMD:C_1206,  
C23, 1uF, Capacitors_SMD:C_1206,  

R1, 220, Resistors_SMD:R_1206,  
R2, 4.7k, Resistors_SMD:R_1206, 
R3, 220, Resistors_SMD:R_1206,  
R4, 220, Resistors_SMD:R_1206,  
R5, 220, Resistors_SMD:R_1206,  
R6, 220, Resistors_SMD:R_1206,  
R7, 4.7k, Resistors_SMD:R_1206, 
R8, 220, Resistors_SMD:R_1206,  
R9, 4.7k, Resistors_SMD:R_1206,  
R11, 220, Resistors_SMD:R_1206,  
R12, 220, Resistors_SMD:R_1206, 
R10, 18k, Resistors_SMD:R_1206, 
R13, 220, Resistors_SMD:R_1206,  
R14, 4.7k, Resistors_SMD:R_1206,  

F1, FUSE, ,  
 
D1, LED, LEDs:LED-1206, 
D2, LED, LEDs:LED-1206,  
D3, LED, LEDs:LED-1206,  
D4, LED, LEDs:LED-1206,  
D5, LED, LEDs:LED-1206,  
D6, LED, LEDs:LED-1206,  
D7, LED, LEDs:LED-1206,  
D8, LED, LEDs:LED-1206,  
D9, D, Diode,  

RESET1, DPST, Buttons_Switches_SMD:SW_SPST_PTS645,  
SW0, DPST, Buttons_Switches_SMD:SW_SPST_PTS645,  
SW1, DPST, Buttons_Switches_SMD:SW_SPST_PTS645,  

CON1, USB-MICRO-B, USB,  
 
U1, 3.3VREG, ,  
U2, LV8405V, ,  
U3, MCP2200, ,  
U4, dsPIC33FJ32GS606, TQFP,  

X1, 12MHz, ,  
X2, 10MHz, ,  
 
P1, CONN_01X03, Pin_Headers:Pin_Header_Straight_1x03,  
P2, CONN_01X02, ,  
P3, CONN_01X03, Pin_Headers:Pin_Header_Straight_1x03,  
P4, CONN_01X03, Pin_Headers:Pin_Header_Straight_1x03,  
P5, CONN_01X03, Pin_Headers:Pin_Header_Straight_1x03,  
P6, CONN_01X03, Pin_Headers:Pin_Header_Straight_1x03,  
P7, CONN_01X03, Pin_Headers:Pin_Header_Straight_1x03,  
P8, CONN_01X03, Pin_Headers:Pin_Header_Straight_1x03,  
P9, CONN_01X08, Pin_Headers:Pin_Header_Straight_1x08,  
P10, CONN_02X11, Pin_Headers:Pin_Header_Straight_2x11,  
P11, CONN_01X03, Pin_Headers:Pin_Header_Straight_1x03, 
P12, CONN_01X02, Pin_Headers:Pin_Header_Straight_1x02, 
P13, CONN_01X06, Pin_Headers:Pin_Header_Straight_1x06,  
P14, CONN_01X06, Pin_Headers:Pin_Header_Straight_1x06,  


